_key,label,fund,message,measure,img,linkUrl,linkText
War,instead of war?,"$2,000,000,000.00",1 day of war,day,pictures/costOfWar.png,https://www.csis.org/analysis/iran-war-cost-estimate-update-113-billion-day-6-165-billion-day-12,$2 billion spent per day on first 6 days- <br> Source: CSIS
PAC,instead of super-PACs?,"$5,000,000,000.00",1 campaign cycle,cycle,pictures/PAC.png,https://www.opensecrets.org/outside-spending/super_pacs,$5 billion spent on Super-Pacs in 2024 cycle- <br> Source: OpenSecrets
tax,with a wealth tax?,"$442,000,000,000.00",1 year of wealth tax,year,pictures/wealthTax.png,https://www.sanders.senate.gov/wp-content/uploads/Wealth-Tax-Bill-Summary.pdf,A 5% tax only on wealth above $1 billion would gain $442 billion every year.-<br> Source: Senate Proposals
gas,instead of a $1 increase in gas,"$375,000,000.00",$1 of gas price hike for one day,day,pictures/gas.png,"https://coltura.org/us-gasoline-consumption/#:~:text=bottom%2072%25%20combined.-,How%20Much%20Gas%20Does%20The%20U.S.%20Use%20Per%20Day?,the%20annual%20U.S.%20consumption%20tables.",Every dollar in increased gasoline prices costs American consumers $375 million
ice,instead of ICE's 2026 budget increase,"$42,500,000,000.00",1 year of new Ice funding,year,pictures/ice.png,"https://www.npr.org/2026/01/21/nx-s1-5674887/ice-budget-funding-congress-trump#:~:text=Just%2010%20years%20ago%2C%20the,Justice%2C%20a%20nonpartisan%20policy%20institute.",One Big Beautiful Bill increased ICE's budget by $170 billion over 4 years. 
grift,with the $ Trump made the first year,"$3,000,000,000.00",1 year of trump exploiting his office,year,pictures/grift.png,https://www.brennancenter.org/our-work/research-reports/money-politics-roundup-february-2026,"He made over $3 billion his first year of this term. Mostly from sketchy ""investments"" into his crypto-coin."
deficit,without the national debt,"$1,039,000,000,000.00",1 year of interest on our debt,year,pictures/debt.png,https://www.pgpf.org/article/what-is-the-national-debt-costing-us/,We pay over $1 trillion dollars a year on interest alone to service our national debt. 
